positive|omg its already 7:30 :O
positive|Juuuuuuuuuuuuuuuuussssst Chillin!!
positive|handed in my uniform today . i miss you already
positive|hmmmm.... i wonder how she my number @-)
positive|thanks to all the haters up in my face all day! 112-102
positive|Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate
positive|You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome
positive|"goodbye exams, HELLO ALCOHOL TONIGHT"
positive|uploading pictures on friendster
positive|(: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn21w6o7
positive|"... Do I need to even say it? Do I? Well, here I go anyways: CHRIS CORNELL IN CHICAGO! ... TONIGHT!"
positive|... health class (what a joke!)
positive|@ginaaa &lt;3 GO TO THE SHOW TONIGHT
positive|bathroom is clean..... now on to more enjoyable tasks......
positive|boom boom pow
positive|go give ur mom a hug right now. http://bit.ly/azFwv
positive|Going To See Harry Sunday Happiness
positive|=- I always get what I want
positive|I bend backwards
positive|i get off work sooooon! i miss cody booo. haven't seen him in foreverr!
positive|I hate allergies. Should I get my hair cut tomorrow? I'm taking a public poll...
positive|I'm really going to bed now...
positive|Jin has a twitter.
positive|just gonna smile...cuz it is what it is..and im not sure what more they could want..
positive|"Just got home, and I got to see my friend Zahra whom I haven't seen since We graduated!!! That makes me so happy."
positive|oh thank you!
positive|pleased
positive|Rose and ood will be back in the Xmas Who special! YAY! Damn that's half a year away.
positive|"Thanks, I need all the help i can get."
positive|- that explains alot.
positive|There's going to be a Heathers sequel. Winona4ever! They better not fuck it up.
positive|trae is so sweet! He just bought me a new baithing suit!! Wove him
positive|"True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me - http://is.gd/13be0 - Rishabh"
positive|wide awake NOT!!!
positive|yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for ...
positive|#poemsunder140 ....started by @shannonelyse1
positive|"&lt;--- That is all, and believe me.. it's enough!"
positive|&lt;3 goooood timessss
positive|&quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....
positive|&quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...
positive|&quot;The truth is hiding in your eyes&quot; @patita @MissMarian Paramore ��_ Decode @Daninho502 ? http://blip.fm/~5ytke
positive|-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headin' out to reality. Cheers Twitter world!
positive|-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp;&amp; move on . Trinity.
positive|"-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much ."
positive|-- . Triiiiiii . ily . even if Chaise doesn't . '=D *dies of laughter*
positive|..... hot choco is the best!
positive|: Beach day with Scoobs. '=( : Still no phone.
